iteration,seccomp_setup_ns,syscall_with_seccomp_ns,syscall_baseline_ns,violation_check_ns
486,1200127,49,76,2
487,1204255,50,77,3
488,1212499,56,77,3
489,1212687,56,77,3
490,1221353,56,80,3
491,1232271,56,85,3
492,1242982,58,86,5
493,1257656,61,98,6
494,1274832,68,103,6
495,1298720,71,113,10
496,1315841,80,115,10
497,1327152,90,122,10
498,1445512,134,127,10
499,1460860,220,175,11
500,1686091,302,224,20

# SUMMARY
# seccomp_setup: min=511665 max=1686091 mean=860670.4 median=844068.5 stddev=177200.5 p95=1154550.0 p99=1315841.0
# syscall_seccomp: min=25 max=302 mean=34.1 median=30.0 stddev=17.3 p95=46.0 p99=80.0
# syscall_baseline: min=25 max=224 mean=37.4 median=35.0 stddev=17.1 p95=62.0 p99=115.0
