iteration,seccomp_setup_ns,syscall_with_seccomp_ns,syscall_baseline_ns,violation_check_ns
390,844739,27,27,0
391,844917,27,27,0
392,844918,27,27,0
393,845289,27,27,0
394,845398,27,27,0
395,846179,27,27,0
396,846411,27,27,0
397,846646,27,27,0
398,847547,27,27,0
399,848242,27,27,0
400,848355,27,27,0
401,848689,27,27,0
402,848727,27,27,0
403,848975,27,27,0
404,849253,27,27,0
405,849600,27,27,0
406,850054,27,27,0
407,850154,27,27,0
408,851991,27,27,0
409,852530,27,27,0
410,854494,27,27,0
411,855205,27,27,0
412,856082,27,27,0
413,856335,27,27,0
414,856362,27,27,0
415,856704,27,27,0
416,856715,27,27,0
417,856754,27,28,0
418,857075,27,28,0
419,857806,27,28,0
420,857919,27,28,0
421,858069,27,28,0
422,858409,27,28,0
423,859075,27,28,0
424,859462,27,28,0
425,859787,27,28,0
426,860414,27,28,0
427,860853,27,28,0
428,860990,27,28,0
429,861440,27,28,0
430,861761,27,28,0
431,862406,27,28,0
432,862819,27,28,0
433,863296,27,28,0
434,863445,27,28,0
435,863506,27,28,0
436,863832,27,28,0
437,864172,27,28,0
438,865567,27,28,0
439,865650,27,28,0
440,866015,27,28,0
441,866400,27,28,0
442,866471,27,28,0
443,866667,27,28,0
444,866893,27,28,0
445,867353,27,28,0
446,868860,27,28,0
447,869237,27,28,0
448,869243,27,28,0
449,869320,27,28,0
450,869356,27,28,0
451,869442,27,28,0
452,869498,27,28,0
453,869542,27,28,0
454,870372,27,28,0
455,870829,27,28,0
456,871198,27,28,0
457,871720,27,28,0
458,873041,27,28,0
459,873057,27,28,0
460,873371,27,28,0
461,873496,28,28,0
462,873529,28,28,0
463,874486,28,28,0
464,874574,28,28,0
465,874917,28,28,0
466,874980,28,28,0
467,875009,28,28,0
468,875182,28,28,0
469,875629,28,28,0
470,875642,28,28,0
471,875848,28,28,0
472,876564,28,28,0
473,876618,28,28,0
474,876903,28,28,0
475,877648,28,28,0
476,878556,28,28,0
477,878841,28,28,0
478,878846,28,28,0
479,879499,28,28,0
480,879651,28,28,0
481,880250,28,28,0
482,880799,28,28,0
483,881034,28,29,0
484,881071,28,29,0
485,881310,28,29,0
486,882257,28,29,0
487,882805,28,29,0
488,882882,28,29,0
489,882889,28,29,0
490,883565,28,29,0
491,883576,28,29,0
492,883727,28,29,0
493,883796,28,29,0
494,883935,28,29,0
495,883952,28,29,0
496,884772,28,29,0
497,885012,28,29,0
498,885138,28,29,0
499,885216,28,29,0
500,885458,28,29,0
501,885620,28,29,0
502,885912,28,29,0
503,886406,28,29,0
504,886768,28,29,0
505,886960,28,29,0
506,887129,28,29,0
507,887797,28,29,0
508,887940,28,29,0
509,888550,28,29,0
510,888725,28,29,0
511,888931,28,29,0
512,890258,28,29,0
513,890728,28,29,0
514,890881,28,29,0
515,891536,28,29,0
516,891559,28,29,0
517,892063,28,29,0
518,892313,28,29,0
519,893004,28,29,0
520,893544,28,29,0
521,893936,28,29,0
522,893991,28,30,0
523,894109,28,30,0
524,894469,29,30,0
525,894902,29,30,0
526,895031,29,30,0
527,895282,29,30,0
528,896268,29,30,0
529,896505,29,30,0
530,896874,29,30,0
531,897033,29,30,0
532,897041,29,30,0
533,898722,29,30,0
534,898884,29,30,0
535,899236,29,30,0
536,899749,29,30,0
537,900133,29,30,0
538,900547,29,30,0
539,901313,29,31,0
540,901929,29,31,0
541,902543,29,31,0
542,902935,29,31,0
543,903014,29,31,0
544,903869,29,31,0
545,903995,29,31,0
546,904197,29,31,0
547,906052,29,31,0
548,907778,29,31,0
549,908794,29,31,0
550,908900,29,31,0
551,909586,29,31,0
552,909870,30,31,0
553,910911,30,31,0
554,913023,30,31,0
555,913308,30,31,0
556,913522,30,31,0
557,913558,30,31,0
558,913750,30,31,0
559,914486,30,31,0
560,916901,30,31,0
561,917116,30,31,0
562,917562,30,31,0
563,917567,30,31,1
564,918433,30,31,1
565,918778,30,31,1
566,918999,30,31,1
567,919118,30,31,1
568,919137,30,32,1
569,919345,30,32,1
570,920197,30,32,1
571,921589,30,32,1
572,921701,30,32,1
573,921962,30,32,1
574,922447,30,32,1
575,922560,30,32,1
576,922573,30,32,1
577,922807,30,32,1
578,922854,30,32,1
579,923253,30,32,1
580,923305,30,32,1
581,923784,30,32,1
582,923866,31,32,1
583,924981,31,32,1
584,925018,31,32,1
585,925372,31,32,1
586,925723,31,32,1
587,925789,31,32,1
588,926024,31,32,1
589,926545,31,32,1
590,926557,31,32,1
591,926820,31,32,1
592,927251,31,32,1
593,927622,31,32,1
594,928095,31,33,1
595,929442,31,33,1
596,929668,31,33,1
597,929967,31,33,1
598,930452,31,33,1
599,931294,31,33,1
600,931909,31,33,1
601,933664,31,33,1
602,933759,31,33,1
603,933934,31,33,1
604,934310,31,34,1
605,935010,31,34,1
606,935248,31,34,1
607,935397,31,34,1
608,935684,31,34,1
609,935736,31,34,1
610,936289,31,34,1
611,936533,31,34,1
612,936881,31,34,1
613,937360,31,34,1
614,938929,31,34,1
615,939179,31,34,1
616,939513,31,34,1
617,939613,31,35,1
618,939854,31,35,1
619,940939,31,35,1
620,940943,31,36,1
621,940990,32,36,1
622,942198,32,36,1
623,942381,32,36,1
624,943491,32,36,1
625,943891,32,36,1
626,943956,32,36,1
627,944082,32,36,1
628,944234,32,36,1
629,944299,32,36,1
630,944805,32,36,1
631,945279,32,37,1
632,945546,32,37,1
633,945698,32,38,1
634,945868,32,38,1
635,947792,32,38,1
636,947856,32,38,1
637,948265,32,38,1
638,948402,32,38,1
639,948797,32,38,1
640,948975,32,38,1
641,949089,32,38,1
642,949752,32,38,1
643,950331,32,38,1
644,950543,32,38,1
645,953005,32,38,1
646,953072,32,38,1
647,953423,32,39,1
648,953514,32,39,1
649,953869,32,39,1
650,954288,32,40,1
651,954399,32,40,1
652,954790,32,40,1
653,954864,32,40,1
654,955400,32,40,1
655,957223,32,40,1
656,957541,32,40,1
657,959079,32,40,1
658,959444,32,40,1
659,961990,32,40,1
660,964231,33,40,1
661,964906,33,40,1
662,965249,33,40,1
663,965273,33,40,1
664,967237,33,40,1
665,967470,33,40,1
666,968278,33,40,1
667,968306,33,40,1
668,968544,33,41,1
669,969239,33,41,1
670,970050,33,42,1
671,972034,33,42,1
672,972036,33,42,1
673,972877,33,42,1
674,973082,33,42,1
675,973326,33,42,1
676,974396,33,42,1
677,974749,33,42,1
678,975319,33,42,1
679,975737,33,42,1
680,976475,33,42,1
681,977403,33,42,1
682,980226,33,42,1
683,980267,33,42,1
684,980366,33,42,1
685,981054,33,42,1
686,981201,34,42,1
687,981425,34,42,1
688,981683,34,42,1
689,981904,34,42,1
690,983849,34,42,1
691,984553,34,42,1
692,984693,34,42,1
693,984794,34,42,1
694,985024,34,42,1
695,986464,34,42,1
696,986544,34,42,1
697,988184,34,42,1
698,988946,34,42,1
699,989389,34,42,1
700,989619,34,42,1
701,990926,34,42,1
702,992809,34,42,1
703,993114,34,42,1
704,994395,34,42,1
705,994989,34,42,1
706,995472,34,42,1
707,995667,34,42,1
708,996339,34,42,1
709,997230,34,42,1
710,998374,34,42,1
711,999585,34,42,1
712,1001129,34,42,1
713,1002408,34,42,1
714,1003395,34,42,1
715,1003572,34,42,1
716,1004656,34,42,1
717,1007444,34,42,1
718,1008495,34,42,1
719,1009359,34,42,1
720,1009470,34,42,1
721,1009643,34,42,1
722,1010239,34,42,1
723,1011028,34,42,1
724,1011184,35,42,1
725,1012289,35,42,1
726,1012349,35,42,1
727,1012591,35,42,1
728,1012758,35,42,1
729,1012920,35,42,1
730,1013069,35,42,1
731,1013211,35,42,1
732,1013289,35,42,1
733,1014093,35,42,1
734,1015327,35,42,1
735,1015821,35,42,1
736,1016551,35,42,1
737,1017459,35,42,1
738,1017754,35,42,1
739,1017795,35,42,1
740,1019171,35,42,1
741,1019292,35,42,1
742,1019539,35,42,1
743,1020104,35,42,1
744,1020440,35,42,1
745,1021775,36,42,1
746,1021794,36,42,1
747,1021814,36,42,1
748,1022055,36,42,1
749,1022271,36,42,1
750,1022325,36,42,1
751,1022952,36,42,1
752,1023360,36,42,1
753,1023392,36,42,1
754,1024318,36,42,1
755,1027062,36,42,1
756,1027357,36,42,1
757,1028598,36,42,1
758,1030851,36,42,1
759,1030879,36,42,1
760,1031753,36,42,1
761,1036387,36,42,1
762,1036462,36,42,1
763,1036598,36,42,1
764,1041464,36,42,1
765,1043061,36,42,1
766,1044700,36,42,1
767,1045280,37,42,1
768,1045367,37,42,1
769,1045597,37,42,1
770,1047963,37,42,1
771,1051718,37,42,1
772,1052538,37,42,1
773,1052582,37,42,1
774,1055662,37,42,1
775,1056883,38,42,1
776,1058345,38,42,1
777,1059401,38,42,1
778,1063293,38,42,1
779,1067256,38,42,1
780,1068089,38,42,1
781,1068589,38,42,1
782,1068677,38,42,1
783,1069887,38,42,1
784,1070489,38,42,1
785,1073000,38,42,1
786,1074058,40,43,1
787,1076445,40,44,1
788,1076993,40,44,1
789,1079847,40,44,1
790,1080133,40,44,1
791,1080375,40,44,1
792,1080937,40,44,1
793,1081127,40,44,1
794,1081736,40,44,1
795,1082444,40,44,1
796,1083376,41,45,1
797,1083615,41,45,1
798,1085045,42,45,1
799,1087776,42,45,1
800,1088974,42,45,1
801,1089001,42,46,1
802,1090132,42,46,1
803,1092744,42,46,1
804,1094781,42,46,1
805,1096589,42,46,1
806,1098576,42,46,1
807,1100173,42,46,1
808,1100221,42,46,1
809,1100692,42,47,1
810,1101662,42,47,1
811,1109790,42,47,1
812,1110540,42,47,1
813,1117589,42,47,1
814,1124107,42,47,1
815,1124972,42,47,1
816,1126922,42,47,1
817,1127665,42,47,1
818,1127748,42,47,1
819,1132000,42,47,1
820,1132387,42,47,1
821,1132540,42,47,1
822,1132644,42,47,1
823,1132885,42,47,1
824,1132948,42,47,1
825,1133732,42,47,1
826,1136255,42,47,1
827,1136905,42,47,1
828,1137303,42,47,1
829,1141510,42,47,1
830,1142768,42,47,1
831,1143114,42,47,1
832,1144289,42,49,1
833,1144999,43,49,1
834,1145160,43,49,1
835,1146923,43,49,1
836,1151162,43,49,1
837,1153420,43,49,1
838,1153493,43,49,1
839,1153807,43,49,1
840,1153935,43,50,1
841,1154784,43,50,1
842,1155767,43,50,1
843,1157705,43,50,1
844,1159267,43,50,1
845,1166148,43,50,1
846,1167267,43,50,1
847,1172360,44,50,1
848,1175323,44,50,1
849,1175563,44,50,1
850,1176601,44,50,1
851,1176926,44,50,1
852,1177062,44,50,1
853,1178043,44,50,1
854,1181172,44,50,1
855,1183184,45,50,1
